PRISM Time Series Data,,,,,,,,,,,
Locations: 27,,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax",,,,,,,,,,,
M_ I_Open,-118.5915,34.9719,1652,2006,443.37,6.3,12.3,18.4,-1.8,4.06,17.9
M_ I_Open,-118.5915,34.9719,1652,2007,231.04,6.4,12.4,18.4,-3.3,4.36,18.28
M_ I_Open,-118.5915,34.9719,1652,2008,498.92,6.7,12.5,18.3,-3.4,5.02,18.28
M_ I_Open,-118.5915,34.9719,1652,2009,310.28,6.4,12.3,18.3,-2.6,4.34,18.09
M_ I_Open,-118.5915,34.9719,1652,2010,867.16,5.6,11.3,17.1,-1.4,3.68,16.08
M_ I_Open,-118.5915,34.9719,1652,2011,461.55,5.7,11.6,17.4,-2.4,3.76,16.71
M_ I_Open,-118.5915,34.9719,1652,2012,298.38,6.9,13,19.1,-2.8,4.16,19.63
M_ I_Open,-118.5915,34.9719,1652,2013,164.79,6.8,12.8,18.8,-3.8,4.83,19.08
M_ I_Open,-118.5915,34.9719,1652,2014,396.39,7.8,13.9,20,-3,4.94,20.16
M_ I_Open,-118.5915,34.9719,1652,2015,265.33,7.4,13.5,19.6,-1.3,3.98,18.85
M_ I_Open,-118.5915,34.9719,1652,2016,339.76,7.1,13.2,19.2,-1.9,4.34,19.08
M_ I_Open,-118.5915,34.9719,1652,2017,316.89,7.6,13.5,19.4,-1.6,4.4,19.21
,,,,,,,,,,,
M_ I_Partial,-118.5901,34.9718,1659,1997,442.77,6.6,12.3,18,-0.7,3.65,16.21
M_ I_Partial,-118.5901,34.9718,1659,1998,888.91,5.3,10.8,16.3,-0.1,2.94,13.94
M_ I_Partial,-118.5901,34.9718,1659,1999,313.82,6.2,12.3,18.3,-2.4,3.81,17.45
M_ I_Partial,-118.5901,34.9718,1659,2000,308.72,6.3,12.4,18.6,-1.2,3.49,17.6
M_ I_Partial,-118.5901,34.9718,1659,2001,487.19,6.6,12.6,18.5,-0.4,4.04,17.91
M_ I_Partial,-118.5901,34.9718,1659,2002,225.76,6.5,12.6,18.8,-2.4,4.41,18.63
M_ I_Partial,-118.5901,34.9718,1659,2003,448.21,6.9,12.8,18.7,-1.3,4.5,18.37
M_ I_Partial,-118.5901,34.9718,1659,2004,487.66,6.4,12.3,18.2,-1.7,4.25,17.82
M_ I_Partial,-118.5901,34.9718,1659,2005,814.86,6.2,12,17.8,-0.5,3.35,16.03
M_ I_Partial,-118.5901,34.9718,1659,2006,445.98,6.3,12.3,18.3,-1.8,4.06,17.89
M_ I_Partial,-118.5901,34.9718,1659,2007,231.18,6.4,12.4,18.4,-3.3,4.36,18.28
M_ I_Partial,-118.5901,34.9718,1659,2008,502.29,6.7,12.5,18.3,-3.4,5.02,18.27
M_ I_Partial,-118.5901,34.9718,1659,2009,311.71,6.4,12.3,18.3,-2.6,4.34,18.08
M_ I_Partial,-118.5901,34.9718,1659,2010,869.15,5.6,11.3,17.1,-1.4,3.68,16.08
M_ I_Partial,-118.5901,34.9718,1659,2011,461.94,5.7,11.6,17.4,-2.4,3.76,16.7
M_ I_Partial,-118.5901,34.9718,1659,2012,298.26,6.9,13,19.1,-2.8,4.16,19.63
M_ I_Partial,-118.5901,34.9718,1659,2013,164.72,6.8,12.8,18.8,-3.8,4.83,19.09
M_ I_Partial,-118.5901,34.9718,1659,2014,396.63,7.8,13.9,20,-3,4.93,20.15
M_ I_Partial,-118.5901,34.9718,1659,2015,265.35,7.4,13.5,19.6,-1.3,3.98,18.84
M_ I_Partial,-118.5901,34.9718,1659,2016,340.04,7.1,13.2,19.2,-1.9,4.34,19.08
M_ I_Partial,-118.5901,34.9718,1659,2017,316.83,7.6,13.5,19.4,-1.6,4.4,19.2
,,,,,,,,,,,
M_ I_Total,-118.5896,34.9726,1650,1997,441.37,6.6,12.3,18,-0.7,3.65,16.22
M_ I_Total,-118.5896,34.9726,1650,1998,887.07,5.3,10.8,16.4,0,2.95,13.96
M_ I_Total,-118.5896,34.9726,1650,1999,312.77,6.2,12.3,18.3,-2.4,3.82,17.48
M_ I_Total,-118.5896,34.9726,1650,2000,308.36,6.3,12.5,18.6,-1.2,3.5,17.63
M_ I_Total,-118.5896,34.9726,1650,2001,485.28,6.6,12.6,18.5,-0.4,4.05,17.94
M_ I_Total,-118.5896,34.9726,1650,2002,225.87,6.5,12.7,18.8,-2.4,4.41,18.65
M_ I_Total,-118.5896,34.9726,1650,2003,447.59,7,12.8,18.7,-1.2,4.5,18.4
M_ I_Total,-118.5896,34.9726,1650,2004,485.51,6.4,12.3,18.3,-1.7,4.26,17.85
M_ I_Total,-118.5896,34.9726,1650,2005,811.86,6.2,12,17.8,-0.4,3.36,16.06
M_ I_Total,-118.5896,34.9726,1650,2006,442.91,6.3,12.4,18.4,-1.8,4.07,17.92
M_ I_Total,-118.5896,34.9726,1650,2007,230.79,6.4,12.4,18.4,-3.2,4.36,18.3
M_ I_Total,-118.5896,34.9726,1650,2008,498.61,6.7,12.5,18.3,-3.4,5.02,18.29
M_ I_Total,-118.5896,34.9726,1650,2009,310.05,6.4,12.3,18.3,-2.6,4.34,18.11
M_ I_Total,-118.5896,34.9726,1650,2010,866.13,5.6,11.4,17.1,-1.4,3.68,16.1
M_ I_Total,-118.5896,34.9726,1650,2011,461.02,5.7,11.6,17.4,-2.4,3.76,16.72
M_ I_Total,-118.5896,34.9726,1650,2012,298.1,6.9,13,19.1,-2.8,4.16,19.65
M_ I_Total,-118.5896,34.9726,1650,2013,164.48,6.9,12.8,18.8,-3.8,4.83,19.1
M_ I_Total,-118.5896,34.9726,1650,2014,396.17,7.8,13.9,20,-3,4.94,20.18
M_ I_Total,-118.5896,34.9726,1650,2015,265.21,7.4,13.5,19.6,-1.3,3.99,18.86
M_ I_Total,-118.5896,34.9726,1650,2016,339.77,7.1,13.2,19.2,-1.9,4.34,19.1
M_ I_Total,-118.5896,34.9726,1650,2017,317,7.6,13.5,19.5,-1.6,4.4,19.23
